920,1740,1660,1920,460,560,1100,1500,12,1,12,11,16,8,16,14,6,2,15,14,15,10,16,4,11,3,13,10,2,10,4,12,6,1,4,0,5,16,1,15,1,2,8,11,2,11,4,5,7,5,0,14,3,15,6,2
680,1820,140,1860,620,1560,1240,1420,14,6,3,0,6,14,10,1,6,6,10,5,2,4,8,9,5,7,0,9,3,8,8,12,1,6,0,14,16,15,0,0,15,8,6,14,5,11,7,13,6,16,8,4,12,1,7,3
80,440,1040,1280,60,1260,640,1320,3,5,16,5,16,15,9,10,1,12,11,9,14,16,3,3,16,10,16,0,6,16,6,1,5,2,11,1,10,13,4,5,2,5,12,4,14,2,0,6,13,16,7,5,11,5,5,1
1560,120,480,1000,1180,180,480,1840,12,1,2,7,3,5,3,4,1,10,2,13,16,4,2,9,11,10,10,9,13,1,12,8,12,1,4,1,0,2,8,10,3,13,6,8,4,7,9,0,15,0,9,5,4,0,12,2
1440,1120,1920,1500,980,960,920,1840,11,16,8,2,10,10,8,15,12,12,0,2,14,11,14,7,6,0,3,1,12,11,2,1,7,16,15,3,14,14,12,10,1,9,7,11,6,6,0,3,2,7,11,1,15,5,0,1
1180,740,540,1440,1140,80,1620,1920,16,13,10,14,12,8,8,4,3,11,14,13,13,6,5,14,13,15,6,7,3,4,14,15,4,0,9,0,4,2,2,5,13,0,9,2,3,16,8,15,5,11,5,16,13,5,2,3
400,1680,60,1760,760,1380,1660,660,2,13,4,16,9,12,3,7,2,1,2,16,8,13,7,3,10,1,0,12,3,10,6,10,9,15,2,0,14,7,5,2,10,6,10,5,15,12,5,5,16,2,5,1,1,16,16,3
1380,840,980,340,840,1800,1040,700,13,16,15,0,3,3,12,16,3,12,14,12,13,8,6,14,5,1,9,10,6,5,4,8,2,6,2,6,6,6,11,1,0,16,0,10,10,2,16,10,1,13,7,15,1,14,9,3
1740,920,1820,1260,1000,380,260,1680,16,14,2,5,5,8,0,14,3,3,16,15,2,5,13,14,4,5,10,15,11,7,1,16,9,0,6,0,6,13,7,12,11,12,14,13,9,1,6,11,5,2,0,13,1,8,9,2
1380,1380,1120,1860,1480,600,380,360,10,1,2,3,3,13,4,10,10,8,3,16,9,15,7,16,13,11,0,16,16,16,6,4,2,8,13,16,11,4,9,10,14,6,11,11,10,5,11,10,5,2,14,0,2,2,13,2
